timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1757976306776,103,HTTP Request,200,OK,Saucedemo_QA 1-6,text,true,,3980,234,50,50,https://www.saucedemo.com/,55,0,0
1757976306776,55,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-6,text,true,,658,115,50,50,http://saucedemo.com/,55,0,0
1757976306831,48,HTTP Request-1,200,OK,Saucedemo_QA 1-6,text,true,,3322,119,50,50,https://www.saucedemo.com/,48,0,0
1757976306777,102,HTTP Request,200,OK,Saucedemo_QA 1-17,text,true,,3979,234,50,50,https://www.saucedemo.com/,52,0,0
1757976306777,52,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-17,text,true,,658,115,50,50,http://saucedemo.com/,52,0,0
1757976306829,50,HTTP Request-1,200,OK,Saucedemo_QA 1-17,text,true,,3321,119,50,50,https://www.saucedemo.com/,47,0,0
1757976306777,102,HTTP Request,200,OK,Saucedemo_QA 1-10,text,true,,3981,234,50,50,https://www.saucedemo.com/,55,0,0
1757976306777,56,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-10,text,true,,659,115,50,50,http://saucedemo.com/,55,0,0
1757976306833,46,HTTP Request-1,200,OK,Saucedemo_QA 1-10,text,true,,3322,119,50,50,https://www.saucedemo.com/,46,0,0
1757976306775,105,HTTP Request,200,OK,Saucedemo_QA 1-15,text,true,,3980,234,50,50,https://www.saucedemo.com/,55,0,0
1757976306775,55,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-15,text,true,,658,115,50,50,http://saucedemo.com/,55,0,0
1757976306830,50,HTTP Request-1,200,OK,Saucedemo_QA 1-15,text,true,,3322,119,50,50,https://www.saucedemo.com/,47,0,0
1757976306792,94,HTTP Request,200,OK,Saucedemo_QA 1-31,text,true,,3980,234,50,50,https://www.saucedemo.com/,47,0,0
1757976306792,47,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-31,text,true,,659,115,50,50,http://saucedemo.com/,47,0,0
1757976306839,47,HTTP Request-1,200,OK,Saucedemo_QA 1-31,text,true,,3321,119,50,50,https://www.saucedemo.com/,47,0,0
1757976306793,94,HTTP Request,200,OK,Saucedemo_QA 1-2,text,true,,3979,234,50,50,https://www.saucedemo.com/,47,0,0
1757976306793,47,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-2,text,true,,658,115,50,50,http://saucedemo.com/,47,0,0
1757976306840,47,HTTP Request-1,200,OK,Saucedemo_QA 1-2,text,true,,3321,119,50,50,https://www.saucedemo.com/,47,0,0
1757976306792,95,HTTP Request,200,OK,Saucedemo_QA 1-26,text,true,,3980,234,50,50,https://www.saucedemo.com/,46,0,0
1757976306792,46,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-26,text,true,,658,115,50,50,http://saucedemo.com/,46,0,0
1757976306839,48,HTTP Request-1,200,OK,Saucedemo_QA 1-26,text,true,,3322,119,50,50,https://www.saucedemo.com/,47,0,0
1757976306792,96,HTTP Request,200,OK,Saucedemo_QA 1-27,text,true,,3979,234,50,50,https://www.saucedemo.com/,48,0,0
1757976306792,48,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-27,text,true,,658,115,50,50,http://saucedemo.com/,48,0,0
1757976306840,48,HTTP Request-1,200,OK,Saucedemo_QA 1-27,text,true,,3321,119,50,50,https://www.saucedemo.com/,47,0,0
1757976306795,95,HTTP Request,200,OK,Saucedemo_QA 1-3,text,true,,3980,234,50,50,https://www.saucedemo.com/,48,0,0
1757976306795,48,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-3,text,true,,659,115,50,50,http://saucedemo.com/,48,0,0
